Tiempo (s),Flujo de neutrones (n),pos_nuc (%),pos_BC1 (%),pos_BC2 (%)
0.621,12497.7179,100,100,100
0.622,12502.4815,100,100,100
0.623,12507.2428,100,100,100
0.624,12512.0017,100,100,100
0.625,12516.7582,100,100,100
0.626,12521.5124,100,100,100
0.627,12526.2642,100,100,100
0.628,12531.0136,100,100,100
0.629,12535.7607,100,100,100
0.63,12540.5055,100,100,100
0.631,12545.2479,100,100,100
0.632,12549.988,100,100,100
0.633,12554.7258,100,100,100
0.634,12559.4613,100,100,100
0.635,12564.1944,100,100,100
